workerid,proliferate.condition,CC,Southern_rating,SpeakerGender,age_correct,age_incorrect,age_rating,age_type,assertiveness_rating,block,compQuestionType,democrat_rating,empathy_rating,femininity_rating,file,intelligence_rating,item_type,list,list_whichSpPoliticsFirst,matrixName_correct,matrixName_incorrect,matrixName_type,matrix_clause,name,orientation,participant_beliefs,predicate,projection,republican_rating,rt,slide_number_in_experiment,socialInfo,spBelief_rating,topic,true_false,whichSpPoliticsFirst,error
4699,default,the military is underfunded,,F,,,,,,block1,,,,,F-S-Donna.png,,critical,list2,list2_S,,,,Emma doesn't know that,Donna,conservative,0.25,know,,,3795,4,S,,military,,S,
4699,default,mask mandates are unnecessary,,F,,,,,,block1,,,,,F-S-Amy.png,,critical,list2,list2_S,,,,Wendy didn't pretend that,Amy,conservative,0.24,pretend,,,2776,5,S,,masks,,S,
4699,default,the uprising at the Capitol was patriotic,,M,,,,,,block1,,,,,M-N-John.png,,critical,list2,list2_S,,,,Glenn didn't hear that,John,conservative,0.09,hear,,,2968,6,N,,capitol_uprising,,S,
4699,default,medicaid is underfunded,,F,,,,,,block1,,,,,F-S-Sarah.png,,critical,list2,list2_S,,,,Allison didn't pretend that,Sarah,liberal,0.73,pretend,,,7588,7,S,,medicaid,,S,
4699,default,immigrants support the economy,,F,,,,,,block1,,,,,F-N-Helen.png,,critical,list2,list2_S,,,,Ben isn't right that,Helen,liberal,0.87,be_right,,,50811,8,N,,immigrants,,S,
4699,default,it is too hard to get an abortion,,M,,,,,,block1,,,,,M-S-Joseph.png,,critical,list2,list2_S,,,,Grace didn't acknowledge,Joseph,liberal,0.55,acknowledge,,,9384,9,S,,abortion,,S,
4699,default,COVID is an overhyped virus,,M,,,,,,block1,,,,,M-S-Anthony.png,,critical,list2,list2_S,,,,Mary didn't acknowledge,Anthony,conservative,0.07,acknowledge,,,3348,10,S,,covid,,S,
4699,default,the 2020 election was legitimate,,M,,,,,,block1,,,,,M-S-Ryan.png,,critical,list2,list2_S,,,,Jen doesn't know that,Ryan,liberal,0.49,know,,,3400,11,S,,2020_election,,S,
4699,default,Trump's policies improved the American economy,,F,,,,,,block1,,,,,F-N-Lisa.png,,critical,list2,list2_S,,,,Tony doesn't see that,Lisa,conservative,0.32,see,,,35309,12,N,,Trump_economy,,S,
4699,default,it is too easy to buy guns,,M,,,,,,block1,,,,,M-N-Daniel.png,,critical,list2,list2_S,,,,Owen didn't hear that,Daniel,liberal,0.5,hear,,,1799,13,N,,gun_laws,,S,
4699,default,the minimum wage is too low,,F,,,,,,block1,,,,,F-N-Elizabeth.png,,critical,list2,list2_S,,,,Ken doesn't see that,Elizabeth,liberal,0.58,see,,,2905,14,N,,minimum_wage,,S,
4699,default,U.S. presidential elections are held in November,,NA,,,,,,block1,,,,,NA.png,,O,list2,list2_S,,,,NA,NA,NA,0.72,NA,,,17243,15,NA,,elections,,S,
4699,default,the capital of the US is in Ohio,,NA,,,,,,block1,,,,,NA.png,,O,list2,list2_S,,,,NA,NA,NA,0,NA,,,159984,16,NA,,capital,,S,
4699,default,Trump handled the pandemic well,,M,,,,,,block1,,,,,M-N-Tim.png,,critical,list2,list2_S,,,,Danny isn't right that,Tim,conservative,0.19,be_right,,,5765,17,N,,Trump_pandemic,,S,
4699,default,closing businesses during COVID was unnecessary,,F,,,,,,block1,,,,,F-S-Lily.png,,MC,list2,list2_S,,,,NA,Lily,conservative,0.33,NA,,,39283,18,S,,lockdown,,S,
4699,default,closing businesses during COVID was unnecessary,0.16,F,22,20,0.78,CORRECT,0.62,block2,name_question,0.49,0.48,0.49,F-S-Lily.png,0.56,MC,list2,list2_S,the lockdown,vaccine mandates,CORRECT,NA,Lily,conservative,,NA,,0.42,43307,20,S,0.45,lockdown,,S,
4699,default,mask mandates are unnecessary,0.8,F,26,40,0.16,INCORRECT,0.67,block2,name_question,0.28,0.48,0.52,F-S-Amy.png,0.68,critical,list2,list2_S,Wendy,Lucy,INCORRECT,Wendy didn't pretend that,Amy,conservative,,pretend,,0.68,20354,21,S,0.47,masks,,S,
4699,default,COVID is an overhyped virus,0.74,M,29,37,0.77,CORRECT,0.62,block2,age_question,0.37,0.49,0.48,M-S-Anthony.png,0.57,critical,list2,list2_S,Mary,Shari,CORRECT,Mary didn't acknowledge,Anthony,conservative,,acknowledge,,0.57,23674,22,S,0.39,covid,,S,
4699,default,Trump handled the pandemic well,0.4,M,26,21,0.81,CORRECT,0.62,block2,age_question,0.52,0.49,0.39,M-N-Tim.png,0.64,critical,list2,list2_S,Danny,Rhonda,CORRECT,Danny isn't right that,Tim,conservative,,be_right,,0.49,25840,23,N,0.48,Trump_pandemic,,S,
4699,default,it is too hard to get an abortion,0.58,M,27,31,0.03,INCORRECT,0.51,block2,age_question,0.43,0.52,0.17,M-S-Joseph.png,0.49,critical,list2,list2_S,Grace,Marie,INCORRECT,Grace didn't acknowledge,Joseph,liberal,,acknowledge,,0.61,19811,24,S,0.32,abortion,,S,
4699,default,Trump's policies improved the American economy,0.34,F,34,24,0,INCORRECT,0.45,block2,name_question,0.47,0.46,0.72,F-N-Lisa.png,0.68,critical,list2,list2_S,Tony,Sally,INCORRECT,Tony doesn't see that,Lisa,conservative,,see,,0.48,15512,25,N,0.48,Trump_economy,,S,
